Local Authority Asset Number,Street Name,Ward Name,Postcode,Description,Switch Regime,Wattage,Lamp Type,Column Type,Column Height,Heritage Status,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Organisation URI,Last Uploaded
701139,GOLDHURST TERRACE,Swiss Cottage,NW6 3HA,O/S 97/99,35/18,38,Generic LED Lighting,Lighting Column,500,Yes,526245,184261,-0.180875,51.543137,POINT (-0.180875 51.543137),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
705346,HAWLEY ROAD,Camden Town with Primrose Hill,NW1 8RU,J/W CASTLEHAVEN RD,35/18,90,Cosmopolis,Lighting Column,800,No,528769,184293,-0.144487,51.542855,POINT (-0.144487 51.542855),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:03 AM
701479,PRIORY ROAD,Kilburn,NW6 4SJ,O/S 28,35/18,29,Generic LED Lighting,Lighting Column,800,No,525606,183893,-0.190216,51.539972,POINT (-0.190216 51.539972),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:58 AM
706531,CHALCOT SQUARE,Camden Town with Primrose Hill,NW1 8YP,O/S 39,35/18,38,Generic LED Lighting,Lighting Column,400,Yes,527977,184083,-0.155977,51.541148,POINT (-0.155977 51.541148),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:05 AM
7010106,MUSEUM STREET,Holborn and Covent Garden,WC1A 1LH,S/O NO. 30,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,300,No,530134,181551,-0.125827,51.5179,POINT (-0.125827 51.5179),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:10 AM
70737,ACOL ROAD,Kilburn,NW6 4QY,OPP ACOL COURT,35/18,21,Generic LED Lighting,Lighting Column,500,No,525449,184111,-0.192401,51.541966,POINT (-0.192401 51.541966),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:56 AM
708905,ARGYLE SQUARE,King's Cross,WC1H 8AP,FRONT OF N 34,35/18,51,Generic LED Lighting,Lighting Column,800,No,530350,182743,-0.122274,51.528563,POINT (-0.122274 51.528563),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:08 AM
706069,LADY MARGARET ROAD,Kentish Town,NW5 2NG,BY 25,35/18,48,Generic LED Lighting,Lighting Column,800,No,529202,185357,-0.137855,51.552318,POINT (-0.137855 51.552318),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:04 AM
705258,GRAFTON ROAD,Kentish Town,NW5 3DU,OUTSIDE 40,35/18,93,Generic LED Lighting,Lighting Column,800,No,528723,184817,-0.144958,51.547575,POINT (-0.144958 51.547575),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:03 AM
704138,CHESTER ROAD,Highgate,N19 5BU,OPP CROFTDOWN ROAD,35/18,86,Generic LED Lighting,Lighting Column,800,No,528763,186640,-0.143714,51.563948,POINT (-0.143714 51.563948),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:01 AM
703842,KING HENRY'S ROAD,Belsize,NW3 3RP,O/S NO 58C,35/18,42,Generic LED Lighting,Lighting Column,800,No,527623,184225,-0.161028,51.542504,POINT (-0.161028 51.542504),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:01 AM
707395,MURRAY MEWS,Cantelowes,NW1 9RJ,OPPOSITE 31,35/18,56,Generic LED Lighting,Lighting Column,500,No,529729,184510,-0.130571,51.544586,POINT (-0.130571 51.544586),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:06 AM
706415,ALBERT STREET,Camden Town with Primrose Hill,NW1 7NB,BY 111,35/18,90,Cosmopolis,Lighting Column,800,No,528809,183638,-0.14415,51.53696,POINT (-0.14415 51.53696),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:05 AM
