Local Authority Asset Number,Street Name,Ward Name,Postcode,Description,Switch Regime,Wattage,Lamp Type,Column Type,Column Height,Heritage Status,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Organisation URI,Last Uploaded
705055,BUCK STREET,Camden Town with Primrose Hill,NW1 8QP,OPP. NO. 235,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,300,No,528841,183990,-0.14356,51.540116,POINT (-0.14356 51.540116),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:03 AM
706175,LEIGHTON ROAD,Kentish Town,NW5 2QH,BY PUB,35/18,42,Generic LED Lighting,Lighting Column,800,No,529250,185198,-0.137222,51.550878,POINT (-0.137222 51.550878),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:04 AM
709330,JUDD STREET,King's Cross,WC1H 8JS,S/O J/W CROMER ST,Continuous,6,LED Belisha Beacons (Undimmed),Lighting Column,300,No,530208,182591,-0.124377,51.52723,POINT (-0.124377 51.52723),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:09 AM
708300,BYNG PLACE,Bloomsbury,WC1E 7LE,C/O COURTAULD HSE / CHURCH,35/18,56,Generic LED Lighting,Lighting Column,800,Yes,529733,182140,-0.131386,51.523286,POINT (-0.131386 51.523286),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:07 AM
705974,IVOR STREET,Camden Town with Primrose Hill,NW1 9PJ,LIMIT N 17/18,35/18,56,Generic LED Lighting,Lighting Column,600,No,529079,184251,-0.140034,51.542407,POINT (-0.140034 51.542407),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:04 AM
701427,MESSINA AVENUE,Kilburn,NW6 4LB,BY LC 8,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,400,No,525196,184239,-0.196002,51.543173,POINT (-0.196002 51.543173),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
706836,PARK VILLAGE EAST,Regent's Park,NW1 7PX,BY 16,,31,Generic LED Lighting,Lighting Column,800,Yes,528762,183422,-0.144906,51.535029,POINT (-0.144906 51.535029),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:05 AM
701564,SPRINGFIELD LANE,Kilburn,NW6 5UA,J/W KILBURN HIGH ROAD,35/18,29,Generic LED Lighting,Lighting Column,500,No,525498,183560,-0.191891,51.537004,POINT (-0.191891 51.537004),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:58 AM
707243,CAMDEN STREET,Camden Town with Primrose Hill,NW1 9PT,S/O NO. 160,35/18,110,Generic LED Lighting,Lighting Column,600,Yes,528997,184225,-0.141225,51.542192,POINT (-0.141225 51.542192),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:06 AM
570573,LUTTON TERRACE,Hampstead Town,NW3 1HB,,35/18,60,Cosmopolis,Wall Light,,,526496,185863,-0.176682,51.557478,POINT (-0.176682 51.557478),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:56 AM
70225,FORTUNE GREEN ROAD,Fortune Green,NW6 1UP,CHOMLEY GARDENS,35/18,56,Generic LED Lighting,Lighting Column,800,No,525310,185330,-0.193971,51.552952,POINT (-0.193971 51.552952),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:55 AM
701364,KINGSGATE ROAD,Kilburn,NW6 4TE,O/S NO 70,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,400,No,525230,184159,-0.195541,51.542446,POINT (-0.195541 51.542446),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
701488,PRIORY ROAD,Swiss Cottage,NW6 3BD,O/S 73-75,35/18,29,Generic LED Lighting,Lighting Column,800,No,525674,184266,-0.189103,51.543309,POINT (-0.189103 51.543309),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:58 AM
7010733,LEATHER LANE,Holborn and Covent Garden,EC1N 8PQ,OPP GREVILLE STREET,35/18,21,Generic LED Lighting,Lighting Column,600,No,531283,181728,-0.10921,51.519226,POINT (-0.10921 51.519226),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:11 AM
708063,GOLDINGTON STREET,St Pancras and Somers Town,NW1 1UG,OPP 30,35/18,60,Cosmopolis,Lighting Column,600,No,529709,183368,-0.13128,51.534327,POINT (-0.13128 51.534327),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:07 AM
570805,SAFFRON HILL,Holborn and Covent Garden,EC1N 8QS,,35/18,29,Generic LED Lighting,Wall Light,,,531468,181815,-0.106513,51.519964,POINT (-0.106513 51.519964),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
704005,QUEEN'S GROVE,Swiss Cottage,NW8 6HN,O/S 35,35/18,29,Generic LED Lighting,Lighting Column,500,No,526900,183763,-0.171614,51.538515,POINT (-0.171614 51.538515),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:01 AM
709267,HARRISON STREET,King's Cross,WC1H 8JZ,FRONT OF GLYNDE REACH,35/18,61,Generic LED Lighting,Lighting Column,600,No,530327,182602,-0.122658,51.527301,POINT (-0.122658 51.527301),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:09 AM
70602,SKARDU ROAD,Fortune Green,NW2 3EP,SIDE OF 62,35/18,42,Generic LED Lighting,Lighting Column,600,No,524068,185409,-0.211848,51.553937,POINT (-0.211848 51.553937),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:55 AM
706519,CHALCOT ROAD,Camden Town with Primrose Hill,NW1 8LY,JUNCTION EDIS STREET,35/18,90,Cosmopolis,Lighting Column,800,Yes,528220,183907,-0.152539,51.539511,POINT (-0.152539 51.539511),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:05 AM
708090,GRANARY STREET,St Pancras and Somers Town,NW1 1UL,ON FLANK OF HOSPITAL,35/18,41,LED Street Lights,Lighting Column,800,No,529761,183634,-0.130432,51.536706,POINT (-0.130432 51.536706),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:07 AM
703389,ADELAIDE ROAD,Belsize,NW3 3JL,S/O TAPLOW,35/18,93,Generic LED Lighting,Lighting Column,800,No,526960,184213,-0.170588,51.542545,POINT (-0.170588 51.542545),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:00 AM
702643,CRESSY ROAD,Gospel Oak,NW3 2NY,S/O NO. 42,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,300,No,527591,185543,-0.161011,51.554356,POINT (-0.161011 51.554356),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:59 AM
709818,DYOTT STREET,Holborn and Covent Garden,WC2H 8EL,AT REAR OF 233,35/18,21,Generic LED Lighting,Lighting Column,500,No,530072,181358,-0.126791,51.51618,POINT (-0.126791 51.51618),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:10 AM
707751,YORK WAY,Cantelowes,N1C 4BE,OPP J/W FREIGHT LANE,35/18,140,Cosmopolis,Lighting Column,500,No,530137,184056,-0.124858,51.540412,POINT (-0.124858 51.540412),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:07 AM
70515,MINSTER ROAD,Fortune Green,NW2 3RG,O/S 68,35/18,42,Generic LED Lighting,Lighting Column,600,No,524653,185395,-0.203419,51.553682,POINT (-0.203419 51.553682),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:55 AM
704911,SWAIN'S LANE,Highgate,NW5 1QY,O/S PUB,35/18,86,Generic LED Lighting,Lighting Column,800,No,528296,186345,-0.150556,51.561404,POINT (-0.150556 51.561404),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:03 AM
705293,HADLEY STREET,Haverstock,NW1 8TA,O/S NO 43,35/18,51,Generic LED Lighting,Lighting Column,500,No,528679,184487,-0.145713,51.544619,POINT (-0.145713 51.544619),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:03 AM
702371,PRINCE ARTHUR ROAD,Frognal and Fitzjohns,NW3 6NP,OPP NO 6,35/18,42,Generic LED Lighting,Lighting Column,500,No,526542,185565,-0.176126,51.55479,POINT (-0.176126 51.55479),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:59 AM
7010513,CATTON STREET,Holborn and Covent Garden,WC1B 4AE,S/O NO. 8,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,400,No,530507,181585,-0.120441,51.51812,POINT (-0.120441 51.51812),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:11 AM
70723,ABERDARE GARDENS,Swiss Cottage,NW6 3AJ,O/S 5,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,525765,184143,-0.187836,51.542184,POINT (-0.187836 51.542184),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:56 AM
708876,WHITFIELD STREET,Bloomsbury,W1T 4RE,J/W TOTTENHAM STREET,35/18,7,Light Emitting Diodes (LEDs),Lighting Column,0,No,529466,181835,-0.135344,51.520606,POINT (-0.135344 51.520606),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:08 AM
707906,CHENIES PLACE,St Pancras and Somers Town,NW1 1UH,OPP COOPERS LANE ENTRANCE,35/18,60,Cosmopolis,Lighting Column,600,No,529790,183335,-0.130125,51.534012,POINT (-0.130125 51.534012),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:07 AM
701770,BELSIZE CRESCENT,Frognal and Fitzjohns,NW3 5QU,O/S NO 2,35/18,38,Generic LED Lighting,Lighting Column,500,No,526842,184964,-0.172018,51.549321,POINT (-0.172018 51.549321),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:58 AM
706666,HARRINGTON STREET,Regent's Park,NW1 3SJ,OPP. KIRKSTONE,35/18,42,Generic LED Lighting,Lighting Column,600,No,529138,182850,-0.139697,51.529803,POINT (-0.139697 51.529803),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:05 AM
704699,OAKFORD ROAD,Kentish Town,NW5 1AH,BY 40,35/18,29,Generic LED Lighting,Lighting Column,500,No,529044,185817,-0.139964,51.556488,POINT (-0.139964 51.556488),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:02 AM
707709,YORK WAY,St Pancras and Somers Town,N1 9AB,OPP. RAILWAY STREET,35/18,30,Generic LED Lighting,Lighting Column,1000,No,530319,183234,-0.122539,51.532983,POINT (-0.122539 51.532983),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:07 AM
704347,THE GROVE,Highgate,N6 4RT,S/O NO. 12,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,300,No,528199,187451,-0.151551,51.571365,POINT (-0.151551 51.571365),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:02 AM
703109,POND STREET,Hampstead Town,NW3 2PN,OUTSIDE 21,35/18,90,Cosmopolis,Lighting Column,800,No,527173,185475,-0.167062,51.553839,POINT (-0.167062 51.553839),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:00 AM
706011,KENTISH TOWN ROAD,Camden Town with Primrose Hill,NW1 8NY,O/S 85,35/18,106,Generic LED Lighting,Lighting Column,800,Yes,528951,184350,-0.141843,51.543326,POINT (-0.141843 51.543326),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:04 AM
705526,PARKHILL ROAD,Gospel Oak,NW3 2YA,OPP NO 72,35/18,42,Generic LED Lighting,Lighting Column,800,No,527722,185209,-0.159244,51.551325,POINT (-0.159244 51.551325),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:03 AM
703313,WELL WALK,Hampstead Town,NW3 1LG,OPP PUB,35/18,90,Cosmopolis,Lighting Column,400,Yes,526688,186008,-0.173862,51.558738,POINT (-0.173862 51.558738),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:00 AM
70758,ALEXANDRA PLACE,Swiss Cottage,NW8 0DY,1ST FROM LOUDOUN ROAD SOUTH,35/18,21,Generic LED Lighting,Lighting Column,500,No,526394,183946,-0.178841,51.540273,POINT (-0.178841 51.540273),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:56 AM
701347,KINGSGATE ROAD,Kilburn,NW6 4LB,OPP 97,35/18,42,Generic LED Lighting,Lighting Column,600,No,525190,184264,-0.19608,51.543399,POINT (-0.19608 51.543399),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
702529,WEST HEATH ROAD,Frognal and Fitzjohns,NW3 7UU,S/O NO. 15,35/18,93,Generic LED Lighting,Lighting Column,800,No,525665,186390,-0.188475,51.5624,POINT (-0.188475 51.5624),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:59 AM
7010651,HATTON GARDEN,Holborn and Covent Garden,EC1R 5AR,J/W CLERKENWELL O/S 58,Continuous,6,LED Belisha Beacons (Undimmed),Lighting Column,400,No,531264,182028,-0.109372,51.521926,POINT (-0.109372 51.521926),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:11 AM
70549,RANULF ROAD,Fortune Green,NW2 2DD,OPP 11,35/18,25,Generic LED Lighting,Lighting Column,500,No,525030,185840,-0.197826,51.557598,POINT (-0.197826 51.557598),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:55 AM
7099,CANNON HILL,Fortune Green,NW6 1JS,O/S 38-47 MALBOROUGH MANSIONS,35/18,31,Generic LED Lighting,Lighting Column,500,No,525494,185417,-0.191287,51.553693,POINT (-0.191287 51.553693),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:55 AM
701160,GRANGEWAY,Kilburn,NW6 4JP,3RD FROM KILBURN HIGH ROAD,35/18,29,Generic LED Lighting,Lighting Column,500,No,525030,184199,-0.198409,51.54285,POINT (-0.198409 51.54285),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
7010587,GATE STREET,Holborn and Covent Garden,WC2B 6AH,J/W TWYFORD PL,35/18,30,Generic LED Lighting,Lighting Column,500,Yes,530612,181463,-0.118974,51.516999,POINT (-0.118974 51.516999),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:11 AM
705574,PRINCE OF WALES ROAD,Kentish Town,NW5 3LG,O/S NO 26,35/18,152,Generic LED Lighting,Lighting Column,1000,No,528734,184718,-0.144836,51.546682,POINT (-0.144836 51.546682),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:03 AM
70302,INGLEWOOD ROAD,West Hampstead,NW6 1BE,S/O NO. 11,35/18,56,Generic LED Lighting,Lighting Column,600,No,525324,185073,-0.19386,51.55064,POINT (-0.19386 51.55064),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:55 AM
702971,LAWN ROAD,Gospel Oak,NW3 2XS,O/S NO 8,35/18,21,Generic LED Lighting,Lighting Column,500,No,527568,185105,-0.161502,51.550425,POINT (-0.161502 51.550425),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:00 AM
705118,CHALK FARM ROAD,Camden Town with Primrose Hill,NW1 8AJ,ON C/I OPP J/W HARMOOD ST,Continuous,6,LED Belisha Beacons (Undimmed),Lighting Column,300,No,528542,184263,-0.147769,51.542637,POINT (-0.147769 51.542637),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:03 AM
707537,ROYAL COLLEGE STREET,Camden Town with Primrose Hill,NW1 0BY,OPP ELECTRICITY CENTRE,35/18,86,Generic LED Lighting,Lighting Column,800,No,529337,183944,-0.136429,51.539589,POINT (-0.136429 51.539589),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:06 AM
7010850,ORDE HALL STREET,Holborn and Covent Garden,WC1N 3JL,O/S 29,35/18,51,Generic LED Lighting,Lighting Column,600,No,530562,182013,-0.11949,51.521954,POINT (-0.11949 51.521954),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:11 AM
704176,CHURCHILL ROAD,Kentish Town,NW5 1AN,O/S 16,35/18,56,Generic LED Lighting,Lighting Column,800,No,528949,185957,-0.141283,51.557768,POINT (-0.141283 51.557768),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:01 AM
7011085,ABBEY ROAD,Swiss Cottage,NW6 4SN,O/S 126,35/18,65,Generic LED Lighting,Lighting Column,800,No,525714,183961,-0.188636,51.540559,POINT (-0.188636 51.540559),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:12 AM
705000,ANGLERS LANE,Cantelowes,NW5 2JT,S/O NO 231 KENTISH TOWN RD,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,300,No,528962,184850,-0.141501,51.547817,POINT (-0.141501 51.547817),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:03 AM
703711,ETON VILLAS,Haverstock,NW3 4SY,J/O ETON ROAD L.H.S,35/18,167,Generic LED Lighting,Lighting Column,500,Yes,527851,184533,-0.15763,51.54522,POINT (-0.15763 51.54522),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:01 AM
704796,SAVERNAKE ROAD,Gospel Oak,NW3 2JT,O/S NO 25,35/18,21,Generic LED Lighting,Lighting Column,600,No,528097,185678,-0.153668,51.555455,POINT (-0.153668 51.555455),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:02 AM
7010392,STREATHAM STREET,Bloomsbury,WC1A 1JB,BY PARNELL HSE,35/18,29,Generic LED Lighting,Lighting Column,500,No,530003,181467,-0.127745,51.517176,POINT (-0.127745 51.517176),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:10 AM
7010201,RIDGMOUNT STREET,Bloomsbury,WC1E 7AH,NEAR NO 21,35/18,29,Generic LED Lighting,Lighting Column,800,No,529703,181875,-0.131916,51.520911,POINT (-0.131916 51.520911),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:10 AM
706085,LADY MARGARET ROAD,Kentish Town,N19 5AB,S/O 167 BRECKNOCK ROAD,35/18,27,Generic LED Lighting,Lighting Column,500,No,529295,185637,-0.136412,51.554813,POINT (-0.136412 51.554813),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:04 AM
70878,BROADHURST GARDENS,Swiss Cottage,NW6 3BJ,O/S 101,35/18,56,Generic LED Lighting,Lighting Column,800,No,525882,184618,-0.185979,51.546426,POINT (-0.185979 51.546426),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:56 AM
705681,SOUTHAMPTON ROAD,Gospel Oak,NW3 2YY,S/O NOS. 50-57,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,300,No,527804,185368,-0.158004,51.552735,POINT (-0.158004 51.552735),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:04 AM
701012,DYNHAM ROAD,Kilburn,NW6 2NR,O/S 64,35/18,61,Generic LED Lighting,Lighting Column,600,No,525219,184336,-0.195636,51.544039,POINT (-0.195636 51.544039),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
702267,NETHERHALL GARDENS,Hampstead Town,NW3 5LS,J/O FITZJOHNS AVENUE R.H.,35/18,42,Generic LED Lighting,Lighting Column,600,No,526546,185276,-0.176172,51.552192,POINT (-0.176172 51.552192),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:59 AM
707214,CAMDEN PARK ROAD,Cantelowes,NW1 9AT,OUTSIDE PUB,35/18,90,Cosmopolis,Lighting Column,800,No,529967,184678,-0.127079,51.546041,POINT (-0.127079 51.546041),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:06 AM
703592,COLLEGE CRESCENT,Frognal and Fitzjohns,NW3 5LA,1 ST COLUMN FROM T JUNCTION,35/18,60,Generic LED Lighting,Lighting Column,800,No,526583,184552,-0.175899,51.545677,POINT (-0.175899 51.545677),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:01 AM
708192,PANCRAS ROAD,St Pancras and Somers Town,N1C 4AG,1 ST FROM GOODSWAY,35/18,90,Cosmopolis,Lighting Column,800,No,530015,183327,-0.126886,51.533888,POINT (-0.126886 51.533888),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:07 AM
704514,HILLWAY,Highgate,N6 6HH,JUNCT MAKE PEACE AV.,35/18,38,Generic LED Lighting,Lighting Column,500,Yes,528375,186706,-0.149285,51.56463,POINT (-0.149285 51.56463),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:02 AM
7010494,BROOKE STREET,Holborn and Covent Garden,EC1N 7RR,"O/S BROOKED COURT, BALDWINS GARDENS",35/18,6,Light Emitting Diodes (LEDs),Lighting Column,300,No,531186,181732,-0.110606,51.519284,POINT (-0.110606 51.519284),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:11 AM
707306,COLLEGE PLACE,St Pancras and Somers Town,NW1 0DR,FRONT OF N 79,35/18,60,Cosmopolis,Lighting Column,600,No,529368,183742,-0.136056,51.537766,POINT (-0.136056 51.537766),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:06 AM
709754,BURY PLACE,Holborn and Covent Garden,WC1A 2JL,OPP.15,35/18,56,Generic LED Lighting,Lighting Column,500,No,530242,181610,-0.124249,51.518406,POINT (-0.124249 51.518406),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:10 AM
702676,DOWNSIDE CRESCENT,Gospel Oak,NW3 2AS,O/S NO 26A,35/18,21,Generic LED Lighting,Lighting Column,500,No,527532,185187,-0.161991,51.55117,POINT (-0.161991 51.55117),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:59 AM
706949,REGENT'S PARK ROAD,Camden Town with Primrose Hill,NW1 7TL,O/S NO 31,35/18,104,LED Street Lights,Lighting Column,800,Yes,528301,183746,-0.151431,51.538046,POINT (-0.151431 51.538046),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:05 AM
705845,CAVERSHAM ROAD,Kentish Town,NW5 2DR,OPP N 34,35/18,86,Generic LED Lighting,Lighting Column,800,No,529200,184941,-0.138037,51.54858,POINT (-0.138037 51.54858),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:04 AM
707172,CAMDEN HIGH STREET,Camden Town with Primrose Hill,NW1 7BX,O/S 271,35/18,54,Generic LED Lighting,Lighting Column,1000,No,528778,184062,-0.144441,51.540777,POINT (-0.144441 51.540777),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:06 AM
708343,CLEVELAND STREET,Bloomsbury,W1T 6NS,O/S GLEBE HOUSE AT ENTRANCE TO FITZROY MEWS,35/18,90,Cosmopolis,Lighting Column,800,No,529056,182041,-0.141175,51.522551,POINT (-0.141175 51.522551),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:07 AM
701212,GREVILLE ROAD,Kilburn,NW6 5UX,O/S 7,35/18,21,Generic LED Lighting,Lighting Column,600,No,525592,183497,-0.190559,51.536416,POINT (-0.190559 51.536416),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
701298,KILBURN HIGH ROAD,Kilburn,NW6 4HJ,O/S NO 42,35/18,50,Generic LED Lighting,Lighting Column,1000,No,525438,183613,-0.192737,51.537493,POINT (-0.192737 51.537493),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
706417,ALBERT STREET,Regent's Park,NW1 7RY,BY 40 DELANCEY ST,35/18,90,Cosmopolis,Lighting Column,800,No,528833,183598,-0.143818,51.536595,POINT (-0.143818 51.536595),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:05 AM
703932,LOWER MERTON RISE,Swiss Cottage,NW3 3RA,O/S NO 13,35/18,31,Generic LED Lighting,Lighting Column,600,No,527247,184235,-0.166443,51.542679,POINT (-0.166443 51.542679),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:01 AM
706520,CHALCOT ROAD,Camden Town with Primrose Hill,NW1 8JS,OPP N 31,35/18,90,Cosmopolis,Lighting Column,800,Yes,528253,183902,-0.152066,51.539459,POINT (-0.152066 51.539459),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:05 AM
705841,CAMDEN GARDENS,Camden Town with Primrose Hill,NW1 9PQ,FRONT OF N 53-55,35/18,110,Generic LED Lighting,Lighting Column,800,No,528965,184176,-0.141705,51.541759,POINT (-0.141705 51.541759),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:04 AM
706576,EDIS STREET,Camden Town with Primrose Hill,NW1 8LG,OPP NO 30,35/18,38,Generic LED Lighting,Lighting Column,500,Yes,528230,183930,-0.152387,51.539715,POINT (-0.152387 51.539715),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:05 AM
70541,PARSIFAL ROAD,Fortune Green,NW6 1UH,O/S 12,35/18,31,Generic LED Lighting,Lighting Column,500,No,525290,185433,-0.194222,51.553883,POINT (-0.194222 51.553883),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:55 AM
701654,WEST END LANE,Kilburn,NW6 4SY,O/S 89,35/18,48,Generic LED Lighting,Lighting Column,800,No,525402,184131,-0.193072,51.542156,POINT (-0.193072 51.542156),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:58 AM
702891,HEATH STREET,Hampstead Town,NW3 1EA,OPP WHITE STONE WALK,35/18,61,Generic LED Lighting,Lighting Column,800,No,526281,186364,-0.179602,51.562029,POINT (-0.179602 51.562029),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:00 AM
